"franchise","fromYear","toYear","wins","losses","numPlyfs","numDiv","numConf","numChamp"
"Atlanta Hawks",1950,2018,2717,2752,46,11,0,1
"St. Louis Hawks",1956,1968,553,452,12,6,0,1
"Milwaukee Hawks",1952,1955,91,190,0,0,0,0
"Tri-Cities Blackhawks",1950,1951,54,78,1,0,0,0
"Boston Celtics",1947,2018,3328,2312,55,31,9,17
"Brooklyn Nets",1968,2018,1781,2357,26,5,2,2
"New Jersey Nets",1978,2012,1186,1636,16,4,2,0
"New York Nets",1977,1977,22,60,0,0,0,0
"New Jersey Americans",1968,1968,36,42,0,0,0,0
"Charlotte Hornets",1989,2018,987,1260,10,0,0,0
"Charlotte Bobcats",2005,2014,293,511,2,0,0,0
"Chicago Bulls",1967,2018,2183,2030,35,9,6,6
"Cleveland Cavaliers",1971,2018,1828,2058,22,6,4,1
"Dallas Mavericks",1981,2018,1539,1528,21,3,2,1
"Denver Nuggets",1968,2018,2061,2077,33,10,0,0
"Denver Rockets",1968,1974,288,288,7,1,0,0
"Detroit Pistons",1949,2018,2691,2839,41,11,5,3
"Fort Wayne Pistons",1949,1957,313,306,8,2,0,0
"Golden State Warriors",1947,2018,2715,2922,34,10,4,5
"San Francisco Warriors",1963,1971,330,399,5,2,0,0
"Philadelphia Warriors",1947,1962,558,545,12,3,0,2
"Houston Rockets",1968,2018,2171,1961,32,5,4,2
"San Diego Rockets",1968,1971,119,209,1,0,0,0
"Indiana Pacers",1968,2018,2123,2015,34,9,1,3
"Los Angeles Clippers",1971,2018,1562,2324,13,2,0,0
"San Diego Clippers",1979,1984,186,306,0,0,0,0
"Buffalo Braves",1971,1978,259,397,3,0,0,0
"Los Angeles Lakers",1949,2018,3295,2236,60,32,18,16
"Minneapolis Lakers",1949,1960,457,382,11,4,0,5
"Memphis Grizzlies",1996,2018,759,1077,10,0,0,0
"Vancouver Grizzlies",1996,2001,101,359,0,0,0,0
"Miami Heat",1989,2018,1254,1156,20,12,5,3
"Milwaukee Bucks",1969,2018,2068,1982,30,13,2,1
"Minnesota Timberwolves",1990,2018,923,1405,8,1,0,0
"New Orleans Pelicans",2003,2018,608,686,6,1,0,0
"NO/Ok. City Hornets",2006,2007,77,87,0,0,0,0
"New Orleans Hornets",2003,2013,342,380,5,1,0,0
"New York Knicks",1947,2018,2760,2877,42,8,4,2
"Oklahoma City Thunder",1968,2018,2232,1900,29,11,4,1
"Seattle SuperSonics",1968,2008,1745,1585,22,6,3,1
"Orlando Magic",1990,2018,1115,1213,14,5,2,0
"Philadelphia 76ers",1950,2018,2804,2662,48,11,5,3
"Syracuse Nationals",1950,1963,576,437,14,3,0,1
"Phoenix Suns",1969,2018,2166,1885,29,6,2,0
"Portland Trail Blazers",1971,2018,2080,1806,34,5,3,1
"Sacramento Kings",1949,2018,2522,3009,29,5,0,1
"Kansas City Kings",1976,1985,381,439,4,1,0,0
"Kansas City-Omaha Kings",1973,1975,113,133,1,0,0,0
"Cincinnati Royals",1958,1972,555,634,7,0,0,0
"Rochester Royals",1949,1957,357,263,7,2,0,1
"San Antonio Spurs",1968,2018,2491,1647,45,22,6,5
"Texas Chaparrals",1971,1971,30,54,1,0,0,0
"Dallas Chaparrals",1968,1973,202,206,4,0,0,0
"Toronto Raptors",1996,2018,843,993,10,4,0,0
"Utah Jazz",1975,2018,1913,1645,26,9,2,0
"New Orleans Jazz",1975,1979,161,249,0,0,0,0
"Washington Wizards",1962,2018,2095,2518,29,8,4,1
"Washington Bullets",1975,1997,887,999,13,2,3,1
"Capital Bullets",1974,1974,47,35,1,1,0,0
"Baltimore Bullets",1964,1973,401,412,7,4,1,0
"Chicago Zephyrs",1963,1963,25,55,0,0,0,0
"Chicago Packers",1962,1962,18,62,0,0,0,0
